text,label
"@BrunoLMKI aí bruninho, minha tia é fdp dms, mulherzinha tóxica do k7",1.0
"@fernandoulrich @paulouebel @salimmattarBR Faço minhas as suas palavras.
Obrigado.
Preste atenção na Economia Liberal prometida durante s campanha Pr. @jairbolsonaro , o povo confia em Paulo Guedes onde repousa a esperança de um Brasil de primeiro mundo.
Presidente, não nos decepcione.",0.0
@hellenrms_ fico feliz em saber disso mulherzinha https://t.co/Yd8TPSJ4V0,0.0
@cacabrasileira @miriamleitao Pensa nunha mulherzinha de 5° categoria,1.0
"O pensamento Racismo emaranhado no país colonizador que está em todas brechar e fissuras da sociedade exploradora , tens os ""bem intencionados"" , senhora morelos que só legitimam isso e muitos se acham ""libertos"" mas são mais dentro da roda de 🐹",0.0
@idkwhores @danidqn @Valle_Nada @gatuchris Guria a mulher dança tri bem olha ali,0.0
"@Yuusuukkee O islã permite ter 4 esposas e bater em todas.
Claramente uma religião que apoia o feminismo.",1.0
acho que eu esqueço que eu já sou adulta e responsável e não é só brincar cas cria KKKKKKKK,0.0
"@OTaaaalDoArthur sim. mas é gostoso ver essa galera se fudendo. ""ain vou ter que pagar 400 reais no free pass""  ""ain colocaram personagem feminina no meu joguinho""",0.0
"@cravitys Não faz sentido mesmo kk

Tava falando tipo o de steanear idol evangélico: sei que ele vai ser homofóbico
Se uma idol é abertamnte feminista, altas chances de ser radfem 

Mas a pessoa viajou que idol homem vai apoiar, coreano acredita em direito dos homens pra combater feminismo",0.0
@mari_fonseca moça mas quais as razões pra não fazer check-up? é de graça pelo SUS e quem tem plano de saúde tem direito de fazer também. é uma forma de analisar como andam as taxas e é algo tão rápido e simples. não vejo motivos pra não fazer,0.0
@terrestre_jam Esperava mais da senhora Oh 🥺,0.0
@winslet75x esposa gostosa,1.0
"@alissecampos Fala na minha cara logo rapariga, NÃO GOSTO DE VOCÊ ACHO VOCÊ INCOERENTE SIM",0.0
@gleisi O mulherzinha sem expressão e sem voz. Ninguém acredita mais nesse papinho de vocês. Sabe quem realmente queremos fora? O PT e toda sua turma! #PTNuncaMais #OPovoElegeuBolsonaro,1.0
"@PMESP Já o Sargento PM BRANDÃO continua cego, apos denunciar o Oficial PM Edson Mariano de Oliveira da Corregedoria PM SP por envolvimento de rapto e estupro de menina e assédio sexual contra policial feminina.",0.0
@Neckzz_ff @JehuCoffee @FreeFireBR essa camisa feminina de time parei de usar pq não esconde colete 😔,0.0
"@JaguarJedi @folkloremilia Na verdade elas estão sendo femistas e não feministas, são coisas bem diferentes, e o feminismo faz algo sim, mas é aquilo de pessoas ruins tornarem algo bom em ruim tbm",0.0
@BiaEpronto Meu dedo coça p marca a moça 😂😂😂😂,0.0
"@igoratnight nossa senhora vai tomar hate é de mim, que trem fei",0.0
